MonsoonOP	WarehouseLocator	Quantity	SKU
d	W  -A-A -007-001-2360	1	mon0001209532
d	W  -A-A -007-001-2364	1	mon0001209535
d	W  -A-A -007-001-2390	1	mon0000568830
d	W  -A-A -007-001-2393	1	mon0001216068
d	W  -A-A -007-001-2395	1	mon0001216069
d	W  -A-A -007-001-2412	1	mon0001209513
d	W  -A-A -007-001-2419	1	mon0000504746
d	W  -A-A -007-001-2422	1	mon0000474022
d	W  -A-A -007-001-2424	1	mon0001216079
d	W  -A-A -007-001-2439	1	mon0001216085
d	W  -A-A -007-001-2455	1	mon0000346071
d	W  -A-A -007-001-2456	1	mon0001230321
d	W  -A-A -007-001-2459	1	mon0000413608
d	W  -A-A -007-001-2465	1	mon0001230327
d	W  -A-A -007-001-2466	1	mon0001230328
d	W  -A-A -007-001-2467	1	mon0001093499
d	W  -A-A -007-001-2468	1	mon0000451335
d	W  -A-A -007-001-2480	1	mon0001162684
d	W  -A-A -007-001-2484	1	mon0001230333
d	W  -A-A -007-001-2487	1	mon0001230334
d	W  -A-A -007-001-2490	1	mon0001230336
d	W  -A-A -007-001-2491	1	mon0000537248
d	W  -A-A -007-001-2492	1	mon0001230337
d	W  -A-A -007-001-2498	1	mon0001230338
d	W  -A-A -007-001-2502	1	mon0001230340
d	W  -A-A -007-001-2505	1	mon0001230342
d	W  -A-A -007-001-2507	1	mon0001230343
d	W  -A-A -007-001-2509	1	mon0000592506
d	W  -A-A -007-001-2511	1	mon0001178400
d	W  -A-A -007-001-2513	1	mon0001230345
d	W  -A-A -008-001-287	1	mon0000741619
d	W  -A-A -008-001-328	1	mon0000342621
d	W  -A-A -008-001-363	1	mon0000370741
d	W  -A-A -008-001-673	1	mon0000482893
d	W  -A-A -008-001-693	1	mon0000357743
d	W  -A-A -008-001-695	1	mon0000357743
d	W  -A-A -008-001-1181	1	mon0000927741
d	W  -A-A -008-001-1534	1	mon0000587852
d	W  -A-A -008-001-1594	1	mon0001053260
d	W  -A-A -008-001-1604	1	mon0000938355
d	W  -A-A -008-001-1826	1	mon0001097954
d	W  -A-A -008-001-1837	1	mon0001143521
d	W  -A-A -008-001-1840	1	mon0000484801
d	W  -A-A -008-001-1843	1	mon0001143526
d	W  -A-A -008-001-1859	1	mon0001143546
d	W  -A-A -008-001-1863	1	mon0001143550
d	W  -A-A -008-001-1876	1	mon0001143560
d	W  -A-A -008-001-1879	1	mon0001143561
d	W  -A-A -008-001-1907	1	mon0000307353
d	W  -A-A -008-001-1908	1	mon0001143581
d	W  -A-A -008-001-1930	1	mon0001148078
d	W  -A-A -008-001-1932	1	mon0001148079
d	W  -A-A -008-001-1939	1	mon0001148085
d	W  -A-A -008-001-1952	1	mon0001148089
d	W  -A-A -008-001-1956	1	mon0001148093
d	W  -A-A -008-001-1993	1	mon0000304471
d	W  -A-A -008-001-1997	1	mon0001148119
d	W  -A-A -008-001-2019	1	mon0001148132
d	W  -A-A -008-001-2025	1	mon0000349042
d	W  -A-A -008-001-2028	1	mon0000407767
d	W  -A-A -008-001-2037	1	mon0001148139
d	W  -A-A -008-001-2042	1	mon0000767095
d	W  -A-A -008-001-2068	1	mon0001182065
d	W  -A-A -008-001-2089	1	mon0000435549
d	W  -A-A -008-001-2091	1	mon0001182073
d	W  -A-A -008-001-2097	1	mon0001182077
d	W  -A-A -008-001-2099	1	mon0001182079
d	W  -A-A -008-001-2126	1	mon0000732097
d	W  -A-A -008-001-2129	1	mon0001097959
d	W  -A-A -008-001-2141	1	mon0001192418
d	W  -A-A -008-001-2143	1	mon0001192420
d	W  -A-A -008-001-2148	1	mon0001192423
d	W  -A-A -008-001-2149	1	mon0000769863
d	W  -A-A -008-001-2157	1	mon0001192427
d	W  -A-A -008-001-2177	1	mon0001002224
d	W  -A-A -008-001-2179	1	mon0000310068
d	W  -A-A -008-001-2184	1	mon0001216161
d	W  -A-A -008-001-2189	1	mon0001040144
d	W  -A-A -008-001-2191	1	mon0001216164
d	W  -A-A -008-001-2197	1	mon0000302574
d	W  -A-A -008-001-2208	1	mon0001216173
d	W  -A-A -008-001-2223	1	mon0000594470
d	W  -A-A -008-001-2242	1	mon0001216190
d	W  -A-A -008-001-2247	1	mon0001216194
d	W  -A-A -008-001-2248	1	mon0001216195
d	W  -A-A -008-001-2250	1	mon0001216196
d	W  -A-A -008-001-2253	1	mon0001177249
d	W  -A-A -008-001-2264	1	mon0001216207
d	W  -A-A -009-001-1430	1	mon0001115330
d	W  -A-A -009-001-1479	1	mon0001115357
d	W  -A-A -009-001-1486	1	mon0001141871
d	W  -A-A -009-001-1524	1	mon0001141906
d	W  -A-A -009-001-1561	1	mon0000308356
d	W  -A-A -009-001-1566	1	mon0001141940
d	W  -A-A -009-001-1572	1	mon0001141943
d	W  -A-A -009-001-1575	1	mon0000776305
d	W  -A-A -009-001-1576	1	mon0001141946
d	W  -A-A -009-001-1627	1	mon0000984930
d	W  -A-A -009-001-1641	1	mon0000145304
d	W  -A-A -009-001-1654	1	mon0001148175
d	W  -A-A -009-001-1664	1	mon0001148181
d	W  -A-A -009-001-1675	1	mon0001148186
d	W  -A-A -009-001-1677	1	mon0001148187
d	W  -A-A -009-001-1686	1	mon0000321701
d	W  -A-A -009-001-1690	1	mon0000307015
d	W  -A-A -009-001-1691	1	mon0001148192
d	W  -A-A -009-001-1695	1	mon0001148195
d	W  -A-A -009-001-1708	1	mon0001148201
d	W  -A-A -009-001-1738	1	mon0000401075
d	W  -A-A -009-001-1745	1	mon0001093519
d	W  -A-A -009-001-1748	1	mon0000480581
d	W  -A-A -009-001-1762	1	mon0001182106
d	W  -A-A -009-001-1767	1	mon0001182111
d	W  -A-A -009-001-1802	1	mon0000616175
d	W  -A-A -009-001-1806	1	mon0000307409
d	W  -A-A -009-001-1810	1	mon0001074390
d	W  -A-A -009-001-1813	1	mon0001192441
d	W  -A-A -009-001-1828	1	mon0001192450
d	W  -A-A -009-001-1838	1	mon0001192455
d	W  -A-A -009-001-1842	1	mon0001137380
d	W  -A-A -009-001-1858	1	mon0000825095
d	W  -A-A -009-001-1860	1	mon0000350529
d	W  -A-A -009-001-1866	1	mon0001216321
d	W  -A-A -009-001-1873	1	mon0001216323
d	W  -A-A -009-001-1877	1	mon0000746144
d	W  -A-A -009-001-1879	1	mon0001216326
d	W  -A-A -009-001-1883	1	mon0001216327
d	W  -A-A -009-001-1901	1	mon0000493945
d	W  -A-A -009-001-1916	1	mon0000314726
d	W  -A-A -009-001-1919	1	mon0001216346
d	W  -A-A -009-001-1925	1	mon0000502576
d	W  -A-A -009-001-1932	1	mon0001216363
d	W  -A-A -009-001-1933	1	mon0000751041
d	W  -A-A -009-001-1949	1	mon0001216370
d	W  -A-A -009-001-1952	1	mon0001140014
d	W  -A-A -010-001-807	1	mon0000399631
d	W  -A-A -010-001-1636	1	mon0001115564
d	W  -A-A -010-001-1642	1	mon0001115568
d	W  -A-A -010-001-1651	1	mon0001115574
d	W  -A-A -010-001-1693	1	mon0000310955
d	W  -A-A -010-001-1726	1	mon0001141981
d	W  -A-A -010-001-1741	1	mon0001141988
d	W  -A-A -010-001-1756	1	mon0001141998
d	W  -A-A -010-001-1780	1	mon0001142013
d	W  -A-A -010-001-1805	1	mon0001126129
d	W  -A-A -010-001-1819	1	mon0001148331
d	W  -A-A -010-001-1839	1	mon0000314844
d	W  -A-A -010-001-1859	1	mon0001148355
d	W  -A-A -010-001-1862	1	mon0001148357
d	W  -A-A -010-001-1869	1	mon0001148361
d	W  -A-A -010-001-1870	1	mon0001038199
d	W  -A-A -010-001-1884	1	mon0000674482
d	W  -A-A -010-001-1894	1	mon0001148375
d	W  -A-A -010-001-1897	1	mon0001148376
d	W  -A-A -010-001-1903	1	mon0000795166
d	W  -A-A -010-001-1910	1	mon0001148391
d	W  -A-A -010-001-1941	1	mon0001148412
d	W  -A-A -010-001-1965	1	mon0001182138
d	W  -A-A -010-001-1966	1	mon0001182139
d	W  -A-A -010-001-2005	1	mon0001182164
d	W  -A-A -010-001-2017	1	mon0001182168
d	W  -A-A -010-001-2029	1	mon0000566418
d	W  -A-A -010-001-2033	1	mon0000691083
d	W  -A-A -010-001-2059	1	mon0001192486
d	W  -A-A -010-001-2062	1	mon0000388626
d	W  -A-A -010-001-2066	1	mon0000315213
d	W  -A-A -010-001-2079	1	mon0000577665
d	W  -A-A -010-001-2107	1	mon0001068683
d	W  -A-A -010-001-2112	1	mon0000598839
d	W  -A-A -010-001-2117	1	mon0001205211
d	W  -A-A -010-001-2119	1	mon0001155456
d	W  -A-A -010-001-2120	1	mon0000674036
d	W  -A-A -010-001-2124	1	mon0001205214
d	W  -A-A -010-001-2141	1	mon0001142445
d	W  -A-A -010-001-2143	1	mon0001205218
d	W  -A-A -011-001-206	1	mon0000351503
d	W  -A-A -011-001-850	1	mon0000342917
d	W  -A-A -011-001-1562	1	mon0000675596
d	W  -A-A -011-001-1675	1	mon0001110038
d	W  -A-A -011-001-1676	1	mon0001110039
d	W  -A-A -011-001-1684	1	mon0000403700
d	W  -A-A -011-001-1694	1	mon0000298869
d	W  -A-A -011-001-1813	1	mon0001143585
d	W  -A-A -011-001-1843	1	mon0001128178
d	W  -A-A -011-001-1847	1	mon0001118412
d	W  -A-A -011-001-1870	1	mon0001143633
d	W  -A-A -011-001-1879	1	mon0001143637
d	W  -A-A -011-001-1881	1	mon0001143638
d	W  -A-A -011-001-1902	1	mon0001143652
d	W  -A-A -011-001-1907	1	mon0000675709
d	W  -A-A -011-001-1912	1	mon0001148419
d	W  -A-A -011-001-1946	1	mon0001148439
d	W  -A-A -011-001-1948	1	mon0001148440
d	W  -A-A -011-001-1952	1	mon0001148442
d	W  -A-A -011-001-1976	1	mon0000365778
d	W  -A-A -011-001-1994	1	mon0001148476
d	W  -A-A -011-001-2004	1	mon0000291820
d	W  -A-A -011-001-2017	1	mon0000457678
d	W  -A-A -011-001-2058	1	mon0001182177
d	W  -A-A -011-001-2073	1	mon0001113888
d	W  -A-A -011-001-2080	1	mon0001182197
d	W  -A-A -011-001-2090	1	mon0001182201
d	W  -A-A -011-001-2107	1	mon0001182211
d	W  -A-A -011-001-2134	1	mon0000671215
d	W  -A-A -011-001-2153	1	mon0001192498
d	W  -A-A -011-001-2154	1	mon0001192499
d	W  -A-A -011-001-2158	1	mon0000322559
d	W  -A-A -011-001-2168	1	mon0000888319
d	W  -A-A -011-001-2209	1	mon0001192528
d	W  -A-A -011-001-2215	1	mon0001209545
d	W  -A-A -011-001-2230	1	mon0001209551
d	W  -A-A -011-001-2247	1	mon0001209560
d	W  -A-A -011-001-2251	1	mon0001209561
d	W  -A-A -011-001-2252	1	mon0001137084
d	W  -A-A -011-001-2253	1	mon0001137084
d	W  -A-A -011-001-2259	1	mon0000798796
d	W  -A-A -011-001-2260	1	mon0001209563
d	W  -A-A -012-001-537	1	mon0000388628
d	W  -A-A -012-001-1789	1	mon0000877680
d	W  -A-A -012-001-1881	1	mon0000938331
d	W  -A-A -012-001-1909	1	mon0001114421
d	W  -A-A -012-001-1926	1	mon0000978795
d	W  -A-A -012-001-1933	1	mon0000462453
d	W  -A-A -012-001-1934	1	mon0000488922
d	W  -A-A -012-001-1939	1	mon0000474155
d	W  -A-A -012-001-1943	1	mon0001115683
d	W  -A-A -012-001-2009	1	mon0001146099
d	W  -A-A -012-001-2044	1	mon0000587754
d	W  -A-A -012-001-2073	1	mon0001092681
d	W  -A-A -012-001-2087	1	mon0001146144
d	W  -A-A -012-001-2088	1	mon0001146145
d	W  -A-A -012-001-2112	1	mon0000742186
d	W  -A-A -012-001-2132	1	mon0001148532
d	W  -A-A -012-001-2184	1	mon0001148564
d	W  -A-A -012-001-2191	1	mon0001148568
d	W  -A-A -012-001-2232	1	mon0000330898
d	W  -A-A -012-001-2269	1	mon0000691092
d	W  -A-A -012-001-2274	1	mon0001182266
d	W  -A-A -012-001-2280	1	mon0001182270
d	W  -A-A -012-001-2291	1	mon0000463192
d	W  -A-A -012-001-2311	1	mon0001186086
d	W  -A-A -012-001-2319	1	mon0000321334
d	W  -A-A -012-001-2330	1	mon0000577392
d	W  -A-A -012-001-2334	1	mon0001186090
d	W  -A-A -012-001-2336	1	mon0000510072
d	W  -A-A -012-001-2357	1	mon0001193412
d	W  -A-A -012-001-2380	1	mon0000916108
d	W  -A-A -012-001-2381	1	mon0001193423
d	W  -A-A -012-001-2392	1	mon0000322569
d	W  -A-A -012-001-2402	1	mon0001214852
d	W  -A-A -012-001-2403	1	mon0001143581
d	W  -A-A -012-001-2407	1	mon0001073077
d	W  -A-A -012-001-2413	1	mon0001214857
d	W  -A-A -012-001-2424	1	mon0001181816
d	W  -A-A -012-001-2425	1	mon0001214863
d	W  -A-A -012-001-2428	1	mon0000757673
d	W  -A-A -012-001-2445	1	mon0000812424
d	W  -A-A -012-001-2450	1	mon0000349893
d	W  -A-A -012-001-2463	1	mon0001214874
d	W  -A-B -001-001-599	1	mon0000343555
d	W  -A-B -001-001-732	1	mon0000369151
d	W  -A-B -001-001-1487	1	mon0001108059
d	W  -A-B -001-001-1525	1	mon0001114467
d	W  -A-B -001-001-1532	1	mon0000310339
d	W  -A-B -001-001-1535	1	mon0000388628
d	W  -A-B -001-001-1544	1	mon0000776998
d	W  -A-B -001-001-1577	1	mon0001115804
d	W  -A-B -001-001-1603	1	mon0001115818
d	W  -A-B -001-001-1622	1	mon0001115829
d	W  -A-B -001-001-1647	1	mon0001109520
d	W  -A-B -001-001-1661	1	mon0000306891
d	W  -A-B -001-001-1669	1	mon0001132684
d	W  -A-B -001-001-1678	1	mon0001132691
d	W  -A-B -001-001-1687	1	mon0001132699
d	W  -A-B -001-001-1689	1	mon0000461380
d	W  -A-B -001-001-1703	1	mon0001132709
d	W  -A-B -001-001-1705	1	mon0001132711
d	W  -A-B -001-001-1716	1	mon0001132717
d	W  -A-B -001-001-1732	1	mon0000538020
d	W  -A-B -001-001-1748	1	mon0000340194
d	W  -A-B -001-001-1751	1	mon0001148673
d	W  -A-B -001-001-1757	1	mon0000784749
d	W  -A-B -001-001-1771	1	mon0001148686
d	W  -A-B -001-001-1778	1	mon0001148691
d	W  -A-B -001-001-1791	1	mon0001061036
d	W  -A-B -001-001-1840	1	mon0000708166
d	W  -A-B -001-001-1852	1	mon0001126114
d	W  -A-B -001-001-1897	1	mon0001148775
d	W  -A-B -001-001-1918	1	mon0000582434
d	W  -A-B -001-001-1935	1	mon0001168751
d	W  -A-B -001-001-1937	1	mon0000403262
d	W  -A-B -001-001-1954	1	mon0001142223
d	W  -A-B -001-001-1958	1	mon0001168756
d	W  -A-B -001-001-1984	1	mon0001192973
d	W  -A-B -001-001-1994	1	mon0001192979
d	W  -A-B -001-001-2053	1	mon0000314948
d	W  -A-B -001-001-2068	1	mon0001213603
d	W  -A-B -001-001-2074	1	mon0000313447
d	W  -A-B -001-001-2075	1	mon0000313447
d	W  -A-B -001-001-2076	1	mon0000419618
d	W  -A-B -001-001-2082	1	mon0001213604
d	W  -A-B -001-001-2087	1	mon0001213605
d	W  -A-B -001-001-2093	1	mon0001213606
d	W  -A-B -001-001-2098	1	mon0001101902
d	W  -A-B -001-001-2103	1	mon0000309163
d	W  -A-B -001-001-2123	1	mon0000307912
d	W  -A-B -001-001-2134	1	mon0000463839
d	W  -A-B -001-001-2137	1	mon0001213619
d	W  -A-B -002-001-1595	1	mon0001115925
d	W  -A-B -002-001-1639	1	mon0001144420
d	W  -A-B -002-001-1657	1	mon0000457616
d	W  -A-B -002-001-1669	1	mon0001144439
d	W  -A-B -002-001-1714	1	mon0000434551
d	W  -A-B -002-001-1736	1	mon0000487110
d	W  -A-B -002-001-1737	1	mon0001148801
d	W  -A-B -002-001-1748	1	mon0000643364
d	W  -A-B -002-001-1749	1	mon0001148806
d	W  -A-B -002-001-1769	1	mon0000872963
d	W  -A-B -002-001-1775	1	mon0001148817
d	W  -A-B -002-001-1778	1	mon0001148820
d	W  -A-B -002-001-1779	1	mon0001148821
d	W  -A-B -002-001-1786	1	mon0001148825
d	W  -A-B -002-001-1809	1	mon0000444569
d	W  -A-B -002-001-1813	1	mon0000145304
d	W  -A-B -002-001-1837	1	mon0001148849
d	W  -A-B -002-001-1864	1	mon0001182017
d	W  -A-B -002-001-1871	1	mon0001182024
d	W  -A-B -002-001-1876	1	mon0000343555
d	W  -A-B -002-001-1878	1	mon0000342781
d	W  -A-B -002-001-1885	1	mon0000308423
d	W  -A-B -002-001-1901	1	mon0000321701
d	W  -A-B -002-001-1912	1	mon0000365728
d	W  -A-B -002-001-1932	1	mon0001202774
d	W  -A-B -002-001-1934	1	mon0001202775
d	W  -A-B -002-001-1935	1	mon0001202776
d	W  -A-B -002-001-1947	1	mon0001202781
d	W  -A-B -002-001-1952	1	mon0001202782
d	W  -A-B -002-001-1953	1	mon0001202783
d	W  -A-B -003-001-717	1	mon0000587852
d	W  -A-B -003-001-1202	1	mon0000985865
d	W  -A-B -003-001-1900	1	mon0001116128
d	W  -A-B -003-001-1911	1	mon0001116154
d	W  -A-B -003-001-1932	1	mon0001116179
d	W  -A-B -003-001-1955	1	mon0001116191
d	W  -A-B -003-001-2033	1	mon0001142081
d	W  -A-B -003-001-2067	1	mon0001142100
d	W  -A-B -003-001-2102	1	mon0001148862
d	W  -A-B -003-001-2107	1	mon0000762474
d	W  -A-B -003-001-2116	1	mon0000467474
d	W  -A-B -003-001-2120	1	mon0001148870
d	W  -A-B -003-001-2133	1	mon0001148879
d	W  -A-B -003-001-2149	1	mon0000346071
d	W  -A-B -003-001-2163	1	mon0001148896
d	W  -A-B -003-001-2194	1	mon0001148915
d	W  -A-B -003-001-2214	1	mon0001181946
d	W  -A-B -003-001-2220	1	mon0001181952
d	W  -A-B -003-001-2234	1	mon0001181963
d	W  -A-B -003-001-2257	1	mon0000495173
d	W  -A-B -003-001-2264	1	mon0000439048
d	W  -A-B -003-001-2272	1	mon0001181983
d	W  -A-B -003-001-2284	1	mon0001181991
d	W  -A-B -003-001-2290	1	mon0000349539
d	W  -A-B -003-001-2298	1	mon0001101902
d	W  -A-B -003-001-2302	1	mon0001205222
d	W  -A-B -003-001-2321	1	mon0000566700
d	W  -A-B -003-001-2329	1	mon0000566699
d	W  -A-B -003-001-2332	1	mon0000566695
d	W  -A-B -003-001-2341	1	mon0001205248
d	W  -A-B -003-001-2343	1	mon0001205250
d	W  -A-B -003-001-2345	1	mon0001205252
d	W  -A-B -003-001-2348	1	mon0000416510
d	W  -A-B -003-001-2352	1	mon0000348122
d	W  -A-B -003-001-2355	1	mon0000360772
d	W  -A-B -003-001-2357	1	mon0000471901
d	W  -A-B -003-001-2358	1	mon0000307606
d	W  -A-B -003-001-2377	1	mon0001205262
d	W  -A-B -003-001-2400	1	mon0001223698
d	W  -A-B -003-001-2401	1	mon0001223699
d	W  -A-B -003-001-2405	1	mon0001223701
d	W  -A-B -003-001-2407	1	mon0001223702
d	W  -A-B -003-001-2411	1	mon0001223705
d	W  -A-B -003-001-2417	1	mon0001223710
d	W  -A-B -003-001-2426	1	mon0001223714
d	W  -A-B -003-001-2429	1	mon0001223716
d	W  -A-B -003-001-2431	1	mon0001223718
d	W  -A-B -003-001-2435	1	mon0001223722
d	W  -A-B -003-001-2436	1	mon0001223723
d	W  -A-B -003-001-2441	1	mon0001223725
d	W  -A-B -003-001-2444	1	mon0000664272
d	W  -A-B -003-001-2446	1	mon0001223728
d	W  -A-B -003-001-2449	1	mon0001223741
d	W  -A-B -003-001-2454	1	mon0001223718
d	W  -A-B -003-001-2455	1	mon0001223745
d	W  -A-B -003-001-2456	1	mon0001223746
d	W  -A-B -003-001-2465	1	mon0001223749
d	W  -A-B -003-001-2468	1	mon0000347367
d	W  -A-B -003-001-2472	1	mon0001223763
d	W  -A-B -003-001-2473	1	mon0001223764
d	W  -A-B -004-001-1652	1	mon0001116322
d	W  -A-B -004-001-1669	1	mon0000323952
d	W  -A-B -004-001-1688	1	mon0001114746
d	W  -A-B -004-001-1690	1	mon0000729056
d	W  -A-B -004-001-1693	1	mon0000488922
d	W  -A-B -004-001-1780	1	mon0001142156
d	W  -A-B -004-001-1799	1	mon0001142167
d	W  -A-B -004-001-1800	1	mon0001142168
d	W  -A-B -004-001-1801	1	mon0001142169
d	W  -A-B -004-001-1840	1	mon0000845758
d	W  -A-B -004-001-1853	1	mon0000783640
d	W  -A-B -004-001-1861	1	mon0001148928
d	W  -A-B -004-001-1891	1	mon0000973289
d	W  -A-B -004-001-1959	1	mon0001148988
d	W  -A-B -004-001-1991	1	mon0001149006
d	W  -A-B -004-001-1997	1	mon0000305149
d	W  -A-B -004-001-2007	1	mon0000453816
d	W  -A-B -004-001-2016	1	mon0001181910
d	W  -A-B -004-001-2027	1	mon0000364703
d	W  -A-B -004-001-2078	1	mon0001120575
d	W  -A-B -004-001-2085	1	mon0001210793
d	W  -A-B -004-001-2092	1	mon0000474155
d	W  -A-B -004-001-2093	1	mon0000443697
d	W  -A-B -004-001-2096	1	mon0000302574
d	W  -A-B -004-001-2102	1	mon0001202408
d	W  -A-B -004-001-2104	1	mon0001210797
d	W  -A-B -004-001-2105	1	mon0001210798
d	W  -A-B -004-001-2124	1	mon0001182984
d	W  -A-B -004-001-2130	1	mon0000145304
d	W  -A-B -004-001-2133	1	mon0000309799
